t,x,y,psi,u,v,r
0.880000,0.000000000e+00,2.210871838e-02,0.000000000e+00,0.000000000e+00,4.389128162e-02,0.000000000e+00
0.890000,0.000000000e+00,2.254918146e-02,0.000000000e+00,0.000000000e+00,4.420081854e-02,0.000000000e+00
0.900000,0.000000000e+00,2.299272448e-02,0.000000000e+00,0.000000000e+00,4.450727552e-02,0.000000000e+00
0.910000,0.000000000e+00,2.343931680e-02,0.000000000e+00,0.000000000e+00,4.481068320e-02,0.000000000e+00
0.920000,0.000000000e+00,2.388892808e-02,0.000000000e+00,0.000000000e+00,4.511107192e-02,0.000000000e+00
0.930000,0.000000000e+00,2.434152828e-02,0.000000000e+00,0.000000000e+00,4.540847172e-02,0.000000000e+00
0.940000,0.000000000e+00,2.479708765e-02,0.000000000e+00,0.000000000e+00,4.570291235e-02,0.000000000e+00
0.950000,0.000000000e+00,2.525557676e-02,0.000000000e+00,0.000000000e+00,4.599442324e-02,0.000000000e+00
0.960000,0.000000000e+00,2.571696645e-02,0.000000000e+00,0.000000000e+00,4.628303355e-02,0.000000000e+00
0.970000,0.000000000e+00,2.618122786e-02,0.000000000e+00,0.000000000e+00,4.656877214e-02,0.000000000e+00
0.980000,0.000000000e+00,2.664833242e-02,0.000000000e+00,0.000000000e+00,4.685166758e-02,0.000000000e+00
0.990000,0.000000000e+00,2.711825183e-02,0.000000000e+00,0.000000000e+00,4.713174817e-02,0.000000000e+00
1.000000,0.000000000e+00,2.759095809e-02,0.000000000e+00,0.000000000e+00,4.740904191e-02,0.000000000e+00
1.010000,0.000000000e+00,2.806642347e-02,0.000000000e+00,0.000000000e+00,4.768357653e-02,0.000000000e+00
1.020000,0.000000000e+00,2.854462052e-02,0.000000000e+00,0.000000000e+00,4.795537948e-02,0.000000000e+00
1.030000,0.000000000e+00,2.902552205e-02,0.000000000e+00,0.000000000e+00,4.822447795e-02,0.000000000e+00
1.040000,0.000000000e+00,2.950910115e-02,0.000000000e+00,0.000000000e+00,4.849089885e-02,0.000000000e+00
1.050000,0.000000000e+00,2.999533119e-02,0.000000000e+00,0.000000000e+00,4.875466881e-02,0.000000000e+00
1.060000,0.000000000e+00,3.048418578e-02,0.000000000e+00,0.000000000e+00,4.901581422e-02,0.000000000e+00
1.070000,0.000000000e+00,3.097563881e-02,0.000000000e+00,0.000000000e+00,4.927436119e-02,0.000000000e+00
1.080000,0.000000000e+00,3.146966443e-02,0.000000000e+00,0.000000000e+00,4.953033557e-02,0.000000000e+00
1.090000,0.000000000e+00,3.196623703e-02,0.000000000e+00,0.000000000e+00,4.978376297e-02,0.000000000e+00
1.100000,0.000000000e+00,3.246533128e-02,0.000000000e+00,0.000000000e+00,5.003466872e-02,0.000000000e+00
1.110000,0.000000000e+00,3.296692208e-02,0.000000000e+00,0.000000000e+00,5.028307792e-02,0.000000000e+00
1.120000,0.000000000e+00,3.347098460e-02,0.000000000e+00,0.000000000e+00,5.052901540e-02,0.000000000e+00
1.130000,0.000000000e+00,3.397749423e-02,0.000000000e+00,0.000000000e+00,5.077250577e-02,0.000000000e+00
1.140000,0.000000000e+00,3.448642664e-02,0.000000000e+00,0.000000000e+00,5.101357336e-02,0.000000000e+00
1.150000,0.000000000e+00,3.499775771e-02,0.000000000e+00,0.000000000e+00,5.125224229e-02,0.000000000e+00
1.160000,0.000000000e+00,3.551146357e-02,0.000000000e+00,0.000000000e+00,5.148853643e-02,0.000000000e+00
1.170000,0.000000000e+00,3.602752060e-02,0.000000000e+00,0.000000000e+00,5.172247940e-02,0.000000000e+00
1.180000,0.000000000e+00,3.654590540e-02,0.000000000e+00,0.000000000e+00,5.195409460e-02,0.000000000e+00
1.190000,0.000000000e+00,3.706659481e-02,0.000000000e+00,0.000000000e+00,5.218340519e-02,0.000000000e+00
1.200000,0.000000000e+00,3.758956590e-02,0.000000000e+00,0.000000000e+00,5.241043410e-02,0.000000000e+00
1.210000,0.000000000e+00,3.811479596e-02,0.000000000e+00,0.000000000e+00,5.263520404e-02,0.000000000e+00
1.220000,0.000000000e+00,3.864226252e-02,0.000000000e+00,0.000000000e+00,5.285773748e-02,0.000000000e+00
1.230000,0.000000000e+00,3.917194333e-02,0.000000000e+00,0.000000000e+00,5.307805667e-02,0.000000000e+00
1.240000,0.000000000e+00,3.970381635e-02,0.000000000e+00,0.000000000e+00,5.329618365e-02,0.000000000e+00
1.250000,0.000000000e+00,4.023785977e-02,0.000000000e+00,0.000000000e+00,5.351214023e-02,0.000000000e+00
1.260000,0.000000000e+00,4.077405199e-02,0.000000000e+00,0.000000000e+00,5.372594801e-02,0.000000000e+00
