t,x,y,psi,u,v,r
0.770000,3.264329821e-01,0.000000000e+00,0.000000000e+00,7.623144929e-01,0.000000000e+00,0.000000000e+00
0.780000,3.340906161e-01,0.000000000e+00,0.000000000e+00,7.692021809e-01,0.000000000e+00,0.000000000e+00
0.790000,3.418168243e-01,0.000000000e+00,0.000000000e+00,7.760294344e-01,0.000000000e+00,0.000000000e+00
0.800000,3.496110051e-01,0.000000000e+00,0.000000000e+00,7.827967836e-01,0.000000000e+00,0.000000000e+00
0.810000,3.574725620e-01,0.000000000e+00,0.000000000e+00,7.895047542e-01,0.000000000e+00,0.000000000e+00
0.820000,3.654009040e-01,0.000000000e+00,0.000000000e+00,7.961538672e-01,0.000000000e+00,0.000000000e+00
0.830000,3.733954449e-01,0.000000000e+00,0.000000000e+00,8.027446390e-01,0.000000000e+00,0.000000000e+00
0.840000,3.814556040e-01,0.000000000e+00,0.000000000e+00,8.092775814e-01,0.000000000e+00,0.000000000e+00
0.850000,3.895808055e-01,0.000000000e+00,0.000000000e+00,8.157532020e-01,0.000000000e+00,0.000000000e+00
0.860000,3.977704786e-01,0.000000000e+00,0.000000000e+00,8.221720037e-01,0.000000000e+00,0.000000000e+00
0.870000,4.060240578e-01,0.000000000e+00,0.000000000e+00,8.285344850e-01,0.000000000e+00,0.000000000e+00
0.880000,4.143409823e-01,0.000000000e+00,0.000000000e+00,8.348411400e-01,0.000000000e+00,0.000000000e+00
0.890000,4.227206962e-01,0.000000000e+00,0.000000000e+00,8.410924587e-01,0.000000000e+00,0.000000000e+00
0.900000,4.311626486e-01,0.000000000e+00,0.000000000e+00,8.472889266e-01,0.000000000e+00,0.000000000e+00
0.910000,4.396662935e-01,0.000000000e+00,0.000000000e+00,8.534310249e-01,0.000000000e+00,0.000000000e+00
0.920000,4.482310895e-01,0.000000000e+00,0.000000000e+00,8.595192306e-01,0.000000000e+00,0.000000000e+00
0.930000,4.568565000e-01,0.000000000e+00,0.000000000e+00,8.655540168e-01,0.000000000e+00,0.000000000e+00
0.940000,4.655419933e-01,0.000000000e+00,0.000000000e+00,8.715358520e-01,0.000000000e+00,0.000000000e+00
0.950000,4.742870421e-01,0.000000000e+00,0.000000000e+00,8.774652009e-01,0.000000000e+00,0.000000000e+00
0.960000,4.830911239e-01,0.000000000e+00,0.000000000e+00,8.833425240e-01,0.000000000e+00,0.000000000e+00
0.970000,4.919537207e-01,0.000000000e+00,0.000000000e+00,8.891682778e-01,0.000000000e+00,0.000000000e+00
0.980000,5.008743191e-01,0.000000000e+00,0.000000000e+00,8.949429149e-01,0.000000000e+00,0.000000000e+00
0.990000,5.098524101e-01,0.000000000e+00,0.000000000e+00,9.006668836e-01,0.000000000e+00,0.000000000e+00
1.000000,5.188874893e-01,0.000000000e+00,0.000000000e+00,9.063406286e-01,0.000000000e+00,0.000000000e+00
1.010000,5.279790567e-01,0.000000000e+00,0.000000000e+00,9.119645905e-01,0.000000000e+00,0.000000000e+00
1.020000,5.371266166e-01,0.000000000e+00,0.000000000e+00,9.175392062e-01,0.000000000e+00,0.000000000e+00
1.030000,5.463296778e-01,0.000000000e+00,0.000000000e+00,9.230649087e-01,0.000000000e+00,0.000000000e+00
1.040000,5.555877532e-01,0.000000000e+00,0.000000000e+00,9.285421271e-01,0.000000000e+00,0.000000000e+00
1.050000,5.649003601e-01,0.000000000e+00,0.000000000e+00,9.339712868e-01,0.000000000e+00,0.000000000e+00
1.060000,5.742670201e-01,0.000000000e+00,0.000000000e+00,9.393528095e-01,0.000000000e+00,0.000000000e+00
1.070000,5.836872589e-01,0.000000000e+00,0.000000000e+00,9.446871132e-01,0.000000000e+00,0.000000000e+00
1.080000,5.931606064e-01,0.000000000e+00,0.000000000e+00,9.499746123e-01,0.000000000e+00,0.000000000e+00
1.090000,6.026865965e-01,0.000000000e+00,0.000000000e+00,9.552157173e-01,0.000000000e+00,0.000000000e+00
1.100000,6.122647675e-01,0.000000000e+00,0.000000000e+00,9.604108354e-01,0.000000000e+00,0.000000000e+00
1.110000,6.218946613e-01,0.000000000e+00,0.000000000e+00,9.655603700e-01,0.000000000e+00,0.000000000e+00
1.120000,6.315758242e-01,0.000000000e+00,0.000000000e+00,9.706647212e-01,0.000000000e+00,0.000000000e+00
1.130000,6.413078064e-01,0.000000000e+00,0.000000000e+00,9.757242854e-01,0.000000000e+00,0.000000000e+00
1.140000,6.510901620e-01,0.000000000e+00,0.000000000e+00,9.807394555e-01,0.000000000e+00,0.000000000e+00
1.150000,6.609224489e-01,0.000000000e+00,0.000000000e+00,9.857106210e-01,0.000000000e+00,0.000000000e+00
1.160000,6.708042290e-01,0.000000000e+00,0.000000000e+00,9.906381682e-01,0.000000000e+00,0.000000000e+00
1.170000,6.807350681e-01,0.000000000e+00,0.000000000e+00,9.955224797e-01,0.000000000e+00,0.000000000e+00
1.180000,6.907145357e-01,0.000000000e+00,0.000000000e+00,1.000363935e+00,0.000000000e+00,0.000000000e+00
1.190000,7.007422052e-01,0.000000000e+00,0.000000000e+00,1.005162910e+00,0.000000000e+00,0.000000000e+00
1.200000,7.108176536e-01,0.000000000e+00,0.000000000e+00,1.009919777e+00,0.000000000e+00,0.000000000e+00
1.210000,7.209404616e-01,0.000000000e+00,0.000000000e+00,1.014634906e+00,0.000000000e+00,0.000000000e+00
1.220000,7.311102138e-01,0.000000000e+00,0.000000000e+00,1.019308663e+00,0.000000000e+00,0.000000000e+00
1.230000,7.413264982e-01,0.000000000e+00,0.000000000e+00,1.023941412e+00,0.000000000e+00,0.000000000e+00
1.240000,7.515889065e-01,0.000000000e+00,0.000000000e+00,1.028533511e+00,0.000000000e+00,0.000000000e+00
1.250000,7.618970341e-01,0.000000000e+00,0.000000000e+00,1.033085318e+00,0.000000000e+00,0.000000000e+00
1.260000,7.722504798e-01,0.000000000e+00,0.000000000e+00,1.037597186e+00,0.000000000e+00,0.000000000e+00
1.270000,7.826488459e-01,0.000000000e+00,0.000000000e+00,1.042069466e+00,0.000000000e+00,0.000000000e+00
1.280000,7.930917383e-01,0.000000000e+00,0.000000000e+00,1.046502505e+00,0.000000000e+00,0.000000000e+00
1.290000,8.035787663e-01,0.000000000e+00,0.000000000e+00,1.050896647e+00,0.000000000e+00,0.000000000e+00
1.300000,8.141095427e-01,0.000000000e+00,0.000000000e+00,1.055252233e+00,0.000000000e+00,0.000000000e+00
1.310000,8.246836836e-01,0.000000000e+00,0.000000000e+00,1.059569603e+00,0.000000000e+00,0.000000000e+00
1.320000,8.353008085e-01,0.000000000e+00,0.000000000e+00,1.063849090e+00,0.000000000e+00,0.000000000e+00
1.330000,8.459605403e-01,0.000000000e+00,0.000000000e+00,1.068091029e+00,0.000000000e+00,0.000000000e+00
1.340000,8.566625050e-01,0.000000000e+00,0.000000000e+00,1.072295747e+00,0.000000000e+00,0.000000000e+00
1.350000,8.674063322e-01,0.000000000e+00,0.000000000e+00,1.076463571e+00,0.000000000e+00,0.000000000e+00
1.360000,8.781916545e-01,0.000000000e+00,0.000000000e+00,1.080594827e+00,0.000000000e+00,0.000000000e+00
1.370000,8.890181079e-01,0.000000000e+00,0.000000000e+00,1.084689833e+00,0.000000000e+00,0.000000000e+00
1.380000,8.998853314e-01,0.000000000e+00,0.000000000e+00,1.088748908e+00,0.000000000e+00,0.000000000e+00
1.390000,9.107929674e-01,0.000000000e+00,0.000000000e+00,1.092772369e+00,0.000000000e+00,0.000000000e+00
1.400000,9.217406611e-01,0.000000000e+00,0.000000000e+00,1.096760526e+00,0.000000000e+00,0.000000000e+00
1.410000,9.327280612e-01,0.000000000e+00,0.000000000e+00,1.100713689e+00,0.000000000e+00,0.000000000e+00
1.420000,9.437548193e-01,0.000000000e+00,0.000000000e+00,1.104632167e+00,0.000000000e+00,0.000000000e+00
1.430000,9.548205900e-01,0.000000000e+00,0.000000000e+00,1.108516263e+00,0.000000000e+00,0.000000000e+00
1.440000,9.659250310e-01,0.000000000e+00,0.000000000e+00,1.112366279e+00,0.000000000e+00,0.000000000e+00
1.450000,9.770678029e-01,0.000000000e+00,0.000000000e+00,1.116182513e+00,0.000000000e+00,0.000000000e+00
1.460000,9.882485696e-01,0.000000000e+00,0.000000000e+00,1.119965263e+00,0.000000000e+00,0.000000000e+00
1.470000,9.994669976e-01,0.000000000e+00,0.000000000e+00,1.123714822e+00,0.000000000e+00,0.000000000e+00
1.480000,1.010722756e+00,0.000000000e+00,0.000000000e+00,1.127431481e+00,0.000000000e+00,0.000000000e+00
1.490000,1.022015518e+00,0.000000000e+00,0.000000000e+00,1.131115530e+00,0.000000000e+00,0.000000000e+00
1.500000,1.033344959e+00,0.000000000e+00,0.000000000e+00,1.134767253e+00,0.000000000e+00,0.000000000e+00
1.510000,1.044710757e+00,0.000000000e+00,0.000000000e+00,1.138386935e+00,0.000000000e+00,0.000000000e+00
1.520000,1.056112592e+00,0.000000000e+00,0.000000000e+00,1.141974857e+00,0.000000000e+00,0.000000000e+00
1.530000,1.067550149e+00,0.000000000e+00,0.000000000e+00,1.145531298e+00,0.000000000e+00,0.000000000e+00
1.540000,1.079023114e+00,0.000000000e+00,0.000000000e+00,1.149056533e+00,0.000000000e+00,0.000000000e+00
1.550000,1.090531177e+00,0.000000000e+00,0.000000000e+00,1.152550837e+00,0.000000000e+00,0.000000000e+00
1.560000,1.102074029e+00,0.000000000e+00,0.000000000e+00,1.156014481e+00,0.000000000e+00,0.000000000e+00
1.570000,1.113651365e+00,0.000000000e+00,0.000000000e+00,1.159447734e+00,0.000000000e+00,0.000000000e+00
1.580000,1.125262883e+00,0.000000000e+00,0.000000000e+00,1.162850862e+00,0.000000000e+00,0.000000000e+00
1.590000,1.136908283e+00,0.000000000e+00,0.000000000e+00,1.166224131e+00,0.000000000e+00,0.000000000e+00
1.600000,1.148587267e+00,0.000000000e+00,0.000000000e+00,1.169567801e+00,0.000000000e+00,0.000000000e+00
1.610000,1.160299541e+00,0.000000000e+00,0.000000000e+00,1.172882134e+00,0.000000000e+00,0.000000000e+00
1.620000,1.172044812e+00,0.000000000e+00,0.000000000e+00,1.176167385e+00,0.000000000e+00,0.000000000e+00
1.630000,1.183822792e+00,0.000000000e+00,0.000000000e+00,1.179423811e+00,0.000000000e+00,0.000000000e+00
1.640000,1.195633193e+00,0.000000000e+00,0.000000000e+00,1.182651663e+00,0.000000000e+00,0.000000000e+00
1.650000,1.207475731e+00,0.000000000e+00,0.000000000e+00,1.185851194e+00,0.000000000e+00,0.000000000e+00
1.660000,1.219350124e+00,0.000000000e+00,0.000000000e+00,1.189022651e+00,0.000000000e+00,0.000000000e+00
1.670000,1.231256092e+00,0.000000000e+00,0.000000000e+00,1.192166281e+00,0.000000000e+00,0.000000000e+00
1.680000,1.243193357e+00,0.000000000e+00,0.000000000e+00,1.195282328e+00,0.000000000e+00,0.000000000e+00
1.690000,1.255161647e+00,0.000000000e+00,0.000000000e+00,1.198371034e+00,0.000000000e+00,0.000000000e+00
1.700000,1.267160688e+00,0.000000000e+00,0.000000000e+00,1.201432638e+00,0.000000000e+00,0.000000000e+00
1.710000,1.279190210e+00,0.000000000e+00,0.000000000e+00,1.204467379e+00,0.000000000e+00,0.000000000e+00
1.720000,1.291249947e+00,0.000000000e+00,0.000000000e+00,1.207475493e+00,0.000000000e+00,0.000000000e+00
1.730000,1.303339632e+00,0.000000000e+00,0.000000000e+00,1.210457212e+00,0.000000000e+00,0.000000000e+00
1.740000,1.315459004e+00,0.000000000e+00,0.000000000e+00,1.213412769e+00,0.000000000e+00,0.000000000e+00
1.750000,1.327607801e+00,0.000000000e+00,0.000000000e+00,1.216342393e+00,0.000000000e+00,0.000000000e+00
1.760000,1.339785766e+00,0.000000000e+00,0.000000000e+00,1.219246312e+00,0.000000000e+00,0.000000000e+00
1.770000,1.351992642e+00,0.000000000e+00,0.000000000e+00,1.222124751e+00,0.000000000e+00,0.000000000e+00
1.780000,1.364228177e+00,0.000000000e+00,0.000000000e+00,1.224977934e+00,0.000000000e+00,0.000000000e+00
1.790000,1.376492118e+00,0.000000000e+00,0.000000000e+00,1.227806082e+00,0.000000000e+00,0.000000000e+00
1.800000,1.388784216e+00,0.000000000e+00,0.000000000e+00,1.230609415e+00,0.000000000e+00,0.000000000e+00
1.810000,1.401104224e+00,0.000000000e+00,0.000000000e+00,1.233388151e+00,0.000000000e+00,0.000000000e+00
1.820000,1.413451897e+00,0.000000000e+00,0.000000000e+00,1.236142505e+00,0.000000000e+00,0.000000000e+00
1.830000,1.425826993e+00,0.000000000e+00,0.000000000e+00,1.238872692e+00,0.000000000e+00,0.000000000e+00
1.840000,1.438229271e+00,0.000000000e+00,0.000000000e+00,1.241578924e+00,0.000000000e+00,0.000000000e+00
1.850000,1.450658493e+00,0.000000000e+00,0.000000000e+00,1.244261410e+00,0.000000000e+00,0.000000000e+00
1.860000,1.463114421e+00,0.000000000e+00,0.000000000e+00,1.246920359e+00,0.000000000e+00,0.000000000e+00
1.870000,1.475596822e+00,0.000000000e+00,0.000000000e+00,1.249555978e+00,0.000000000e+00,0.000000000e+00
1.880000,1.488105464e+00,0.000000000e+00,0.000000000e+00,1.252168472e+00,0.000000000e+00,0.000000000e+00
1.890000,1.500640115e+00,0.000000000e+00,0.000000000e+00,1.254758042e+00,0.000000000e+00,0.000000000e+00
